state/district,TOTAL 2012,Republican % 2012,REPUBLICAN 2012,Democrat % 2012,DEMOCRAT 2012,OTHER 2012,Comp. 2012,TOTAL 2016,Republican % 2016,REPUBLICAN 2016,Democrat % 2010,DEMOCRAT 2016,OTHER 2016,Comp. 2016,TOTAL 2020,Republican % 2020,REPUBLICAN 2020,Democrat % 2020,DEMOCRAT 2020,OTHER 2020,Comp. 2020,Min(Comp),Max(Comp),StdDev(Comp),Mean(Comp),Prediction(538) Republican,Prediction(538) Democrat,Prediction(538) Other,Predicted_Comp
CALIFORNIA 41,175652,0.410322683,72074,0.589677317,103578,0,0.589677317,197323,0.350486259,69159,0.649513741,128164,0,0.649513741,262573,0.359698065,94447,0.640301935,168126,0,0.640301935,0.589677317,0.649513741,0.026306119,0.626497664,0.01,0.99,0,0.99
CALIFORNIA 42,214947,0.605940069,130245,0.394059931,84702,0,0.605940069,254236,0.58822118,149547,0.41177882,104689,0,0.58822118,368047,0.571323771,210274,0.428676229,157773,0,0.571323771,0.571323771,0.605940069,0.014133371,0.588495007,0.93,0.07,0,0.93
CALIFORNIA 43,200894,0,0,1,200894,0,1,219516,0.239157966,52499,0.760842034,167017,0,0.760842034,277898,0.283154251,78688,0.716845749,199210,0,0.716845749,0.716845749,1,0.124413529,0.825895928,0.01,0.99,0,0.99
CALIFORNIA 44,165898,0,0,1,165898,0,1,178413,0,0,1,178413,0,1,206036,0,0,1,206036,0,1,1,1,0,1,0,1,0,1
CALIFORNIA 45,293231,0.584580075,171417,0.415419925,121814,0,0.584580075,311849,0.585597517,182618,0.414402483,129231,0,0.585597517,414939,0.465359969,193096,0.534640031,221843,0,0.534640031,0.534640031,0.585597517,0.023785403,0.568272541,0.06,0.94,0,0.94
CALIFORNIA 46,149815,0.361252211,54121,0.638747789,95694,0,0.638747789,164593,0,0,1,164593,0,1,229519,0.312462149,71716,0.687537851,157803,0,0.687537851,0.638747789,1,0.160040351,0.775428547,0.01,0.99,0,0.99
CALIFORNIA 47,230012,0.43440777,99919,0.56559223,130093,0,0.56559223,242868,0.362785546,88109,0.637214454,154759,0,0.637214454,311399,0.367281205,114371,0.632718795,197028,0,0.632718795,0.56559223,0.637214454,0.032754863,0.611841826,0.01,0.99,0,0.99
CALIFORNIA 48,290502,0.609785819,177144,0.390214181,113358,0,0.609785819,306416,0.583197353,178701,0.416802647,127715,0,0.583197353,395100,0.510599848,201738,0.489400152,193362,0,0.510599848,0.510599848,0.609785819,0.041919501,0.567861007,0.32,0.68,0,0.68
CALIFORNIA 49,274618,0.581626113,159725,0.418373887,114893,0,0.581626113,310155,0.50261321,155888,0.49738679,154267,0,0.50261321,386506,0.468704237,181157,0.531295763,205349,0,0.531295763,0.50261321,0.581626113,0.032657944,0.538511695,0.01,0.99,0,0.99
CALIFORNIA 5,272417,0.255288767,69545,0.744711233,202872,0,0.744711233,292091,0.231314898,67565,0.768685102,224526,0,0.768685102,356460,0.239092745,85227,0.760907255,271233,0,0.760907255,0.744711233,0.768685102,0.009986393,0.758101196,0.01,0.99,0,0.99
